Sign,DOB,Name_of_person,place_of_birth,time_of_birth,latitude,longitude
aries,16-09-1942,Aarav,Kadapa ,15:26,14.4752936,78.8216861
leo,27-12-1991,Geethanvitha,Kochi,3:30,9.9674277,76.2454436
sagittarius,08-12-1949,Anjuman,Rajkot,2:15,22.3053263,70.8028377
taurus,24-05-1999,Geet,Burhanpur ,18:12,26.269739549999997,82.99508798317166
virgo,13-01-1948,Priti,Purnia ,21:47,26.0,87.5
capricorn,18-05-1994,Kushal,Patan ,10:57,23.773753,71.67985812598445
gemini,16-09-1958,Anshit,Patiala,0:36,30.20927775,76.33972313649818
libra,26-08-1994,Vikas,Eluru ,19:21,16.7104257,81.1153816
aquarius,11-10-1993,Khushboo,Yercaud,1:34,11.7852074,78.2075392
cancer,26-07-1968,Akshaya,Barddhaman ,4:0,23.25,87.75
scorpio,04-02-1984,Aadharsh,New Delhi ,20:13,28.6138954,77.2090057
pisces,17-05-1962,Ikshita,Chittoor ,17:14,13.2161224,79.0972819
aries,23-06-1968,Chaitanya,Navi Mumbai ,4:54,19.0308262,73.0198537
leo,20-01-1985,Ajeet,Kishanganj ,12:15,26.29841435,87.94667148301295
sagittarius,10-09-1961,Rajesh,Madhyamgram ,3:59,22.6947839,88.4530183
taurus,20-02-1960,Jagdish,Kakinada,2:4,16.9437385,82.2350607
virgo,02-02-1985,Advika,Lucknow ,1:8,26.8381,80.9346001
capricorn,22-06-1943,Jawad,Jodhpur,19:40,26.2967719,73.0351433
gemini,24-12-1994,Ambuj,Satna ,14:9,24.5,81.0
libra,14-06-1951,Dharv,Guntur ,2:14,16.2915189,80.4541588
aquarius,03-01-1967,Anunay,Nizamabad,23:23,26.055317950000003,82.99313867937335
cancer,27-06-1993,Ahilan,Kannur,2:51,11.8763836,75.3737973
scorpio,19-11-1981,Ashok,Aurangabad,15:55,24.786306,84.41448983395554
pisces,24-03-1988,Falak,Ranchi ,22:17,23.3700501,85.3250387
aries,10-07-1956,Ashok,Godhra ,3:59,22.7785001,73.6245157
leo,09-10-1943,Arasi,Matheran,13:57,18.9901544,73.2700191
sagittarius,10-08-1953,Chandrashekhar,Unakoti,4:32,24.19098485,92.04604830534434
taurus,07-01-1957,Maanvi,Barasat ,21:39,22.7191072,88.4826229
virgo,30-08-1972,Aadhira,Solapur ,21:40,17.84990665,75.27632027348457
capricorn,07-09-1947,Arjun,Indore,8:25,22.7203616,75.8681996
gemini,29-07-1991,Armaan,Kanha,16:10,19.8628957,77.6810002
libra,09-09-1987,Ari,Jamalpur ,11:46,25.3297912,86.45677664617543
aquarius,30-01-1968,Kapil,Karawal Nagar ,6:55,28.7311406,77.2747898
cancer,15-11-1944,Renu,Murshidabad,14:45,24.1745993,88.2721335
scorpio,15-09-1946,Alok,Maunath Bhanjan ,4:32,25.95129175,83.64654609363376
pisces,30-12-1979,Smitha,Raniganj ,0:0,25.7967065,82.0634445567081
aries,11-02-1989,Farid,Amravati,4:41,21.15454115,77.64429617998744
leo,02-05-1985,Ahmad,Udaipur ,5:5,24.578721,73.6862571
sagittarius,21-08-1955,Gokul,Betul ,10:16,21.8797472,77.87536507259225
taurus,29-09-1947,Asad,Jabalpur,18:39,23.1608938,79.9497702
virgo,09-09-1997,Gajaanan,Madanapalle ,16:10,13.5557979,78.500872
capricorn,10-07-1991,Asha,Chittorgarh,11:16,24.7171578,74.47181293724019
gemini,29-09-1976,Himmat,Chandrapur ,12:50,20.0967555,79.50454752230621
libra,01-11-1987,Diya,Pithampur ,21:29,22.6105576,75.6790283
aquarius,07-03-1949,Arpit,Kalyani ,11:33,22.9749723,88.4345915
cancer,29-12-1968,Keshav,Raurkela Industrial Township ,18:3,,
scorpio,20-11-1946,Karampreet,Bhubaneshwar,1:49,20.2602964,85.8394521
pisces,21-11-1989,Alina,Nabadwip ,11:3,23.4086684,88.3657991
aries,10-05-1953,Ati,Nandyal,16:35,15.4736293,78.4806592
leo,04-08-1974,Gajapati,Nagercoil ,11:0,8.1880471,77.4290492
sagittarius,05-03-1986,Kundan,Nagpur ,18:27,21.1498134,79.0820556
taurus,19-02-1986,Gurdayal,Chopta,20:18,30.3514012,79.0426792
virgo,07-05-1965,Sonia,Ambarnath ,12:31,19.2015607,73.2004771
capricorn,18-06-1979,Dhanraj,Hooghly,1:44,22.90994025,88.01208246766723
gemini,15-11-1946,Hariom,Jaipur ,22:23,26.9154576,75.8189817
libra,06-02-1961,Sashi,Chennai ,2:24,13.0836939,80.270186
aquarius,10-11-1979,Bhrithi,Varanasi,15:25,25.3356491,83.0076292
cancer,14-04-1950,Asharudeen,Firozpur ,11:9,30.8753832,74.65254375024789
scorpio,12-05-1943,Arnav,Bhusawal ,6:20,21.04572,75.7808079
pisces,26-02-1970,Furqan,Vasai Virar City ,7:56,19.3423819,72.80459598467579
aries,04-03-1948,Adhiraj,Kanchrapara ,23:6,22.9496431,88.4378838
leo,17-11-1982,Febin,Fyzabad,9:47,10.1802665,-61.5467618
