Sign,DOB,Name_of_person,place_of_birth
aries,16-09-1942,Aarav,Kadapa 
leo,27-12-1991,Geethanvitha,Kochi
sagittarius,08-12-1949,Anjuman,Rajkot
taurus,24-05-1999,Geet,Burhanpur 
virgo,13-01-1948,Priti,Purnia 
capricorn,18-05-1994,Kushal,Patan 
gemini,16-09-1958,Anshit,Patiala
libra,26-08-1994,Vikas,Eluru 
aquarius,11-10-1993,Khushboo,Yercaud
cancer,26-07-1968,Akshaya,Barddhaman 
scorpio,04-02-1984,Aadharsh,New Delhi 
pisces,17-05-1962,Ikshita,Chittoor 
aries,23-06-1968,Chaitanya,Navi Mumbai 
leo,20-01-1985,Ajeet,Kishanganj 
sagittarius,10-09-1961,Rajesh,Madhyamgram 
taurus,20-02-1960,Jagdish,Kakinada
virgo,02-02-1985,Advika,Lucknow 
capricorn,22-06-1943,Jawad,Jodhpur
gemini,24-12-1994,Ambuj,Satna 
libra,14-06-1951,Dharv,Guntur 
aquarius,03-01-1967,Anunay,Nizamabad
cancer,27-06-1993,Ahilan,Kannur
scorpio,19-11-1981,Ashok,Aurangabad
pisces,24-03-1988,Falak,Ranchi 
aries,10-07-1956,Ashok,Godhra 
leo,09-10-1943,Arasi,Matheran
sagittarius,10-08-1953,Chandrashekhar,Unakoti
taurus,07-01-1957,Maanvi,Barasat 
virgo,30-08-1972,Aadhira,Solapur 
capricorn,07-09-1947,Arjun,Indore
gemini,29-07-1991,Armaan,Kanha
libra,09-09-1987,Ari,Jamalpur 
aquarius,30-01-1968,Kapil,Karawal Nagar 
cancer,15-11-1944,Renu,Murshidabad
scorpio,15-09-1946,Alok,Maunath Bhanjan 
pisces,30-12-1979,Smitha,Raniganj 
aries,11-02-1989,Farid,Amravati
leo,02-05-1985,Ahmad,Udaipur 
sagittarius,21-08-1955,Gokul,Betul 
taurus,29-09-1947,Asad,Jabalpur
virgo,09-09-1997,Gajaanan,Madanapalle 
capricorn,10-07-1991,Asha,Chittorgarh
gemini,29-09-1976,Himmat,Chandrapur 
libra,01-11-1987,Diya,Pithampur 
aquarius,07-03-1949,Arpit,Kalyani 
cancer,29-12-1968,Keshav,Raurkela Industrial Township 
scorpio,20-11-1946,Karampreet,Bhubaneshwar
pisces,21-11-1989,Alina,Nabadwip 
aries,10-05-1953,Ati,Nandyal
leo,04-08-1974,Gajapati,Nagercoil 
sagittarius,05-03-1986,Kundan,Nagpur 
taurus,19-02-1986,Gurdayal,Chopta
virgo,07-05-1965,Sonia,Ambarnath 
capricorn,18-06-1979,Dhanraj,Hooghly
gemini,15-11-1946,Hariom,Jaipur 
libra,06-02-1961,Sashi,Chennai 
aquarius,10-11-1979,Bhrithi,Varanasi
cancer,14-04-1950,Asharudeen,Firozpur 
scorpio,12-05-1943,Arnav,Bhusawal 
pisces,26-02-1970,Furqan,Vasai Virar City 
aries,04-03-1948,Adhiraj,Kanchrapara 
leo,17-11-1982,Febin,Fyzabad
sagittarius,28-04-1965,Ashit,Siliguri
taurus,01-08-1977,Garvit,Jorapokhar
virgo,10-10-1957,Amitava,Kedarnath
capricorn,21-01-1942,Jhumpa,Alwar 
gemini,15-06-1987,Joshil,Kangra
libra,12-09-1990,Sameer,Gokarna
aquarius,01-10-1997,Dev,Budaun 
cancer,29-10-1943,Satish,Vizianagaram 
scorpio,11-09-1998,Hamood,Hindaun 
pisces,14-02-1957,Hemanshu,Gwalior
aries,11-07-1947,Chaman,Mangalore
leo,21-02-1976,Honey,Pali
sagittarius,18-06-1994,Jasim,Haora
taurus,13-11-1975,Avanish,Amaravati
