Sign,DOB,Name_of_person,place_of_birth,time_of_birth
aries,16-09-1942,Aarav,Kadapa ,15:26
leo,27-12-1991,Geethanvitha,Kochi,3:30
sagittarius,08-12-1949,Anjuman,Rajkot,2:15
taurus,24-05-1999,Geet,Burhanpur ,18:12
virgo,13-01-1948,Priti,Purnia ,21:47
capricorn,18-05-1994,Kushal,Patan ,10:57
gemini,16-09-1958,Anshit,Patiala,0:36
libra,26-08-1994,Vikas,Eluru ,19:21
aquarius,11-10-1993,Khushboo,Yercaud,1:34
cancer,26-07-1968,Akshaya,Barddhaman ,4:0
scorpio,04-02-1984,Aadharsh,New Delhi ,20:13
pisces,17-05-1962,Ikshita,Chittoor ,17:14
aries,23-06-1968,Chaitanya,Navi Mumbai ,4:54
leo,20-01-1985,Ajeet,Kishanganj ,12:15
sagittarius,10-09-1961,Rajesh,Madhyamgram ,3:59
taurus,20-02-1960,Jagdish,Kakinada,2:4
virgo,02-02-1985,Advika,Lucknow ,1:8
capricorn,22-06-1943,Jawad,Jodhpur,19:40
gemini,24-12-1994,Ambuj,Satna ,14:9
libra,14-06-1951,Dharv,Guntur ,2:14
aquarius,03-01-1967,Anunay,Nizamabad,23:23
cancer,27-06-1993,Ahilan,Kannur,2:51
scorpio,19-11-1981,Ashok,Aurangabad,15:55
pisces,24-03-1988,Falak,Ranchi ,22:17
aries,10-07-1956,Ashok,Godhra ,3:59
leo,09-10-1943,Arasi,Matheran,13:57
sagittarius,10-08-1953,Chandrashekhar,Unakoti,4:32
taurus,07-01-1957,Maanvi,Barasat ,21:39
virgo,30-08-1972,Aadhira,Solapur ,21:40
capricorn,07-09-1947,Arjun,Indore,8:25
gemini,29-07-1991,Armaan,Kanha,16:10
libra,09-09-1987,Ari,Jamalpur ,11:46
aquarius,30-01-1968,Kapil,Karawal Nagar ,6:55
cancer,15-11-1944,Renu,Murshidabad,14:45
scorpio,15-09-1946,Alok,Maunath Bhanjan ,4:32
pisces,30-12-1979,Smitha,Raniganj ,0:0
aries,11-02-1989,Farid,Amravati,4:41
leo,02-05-1985,Ahmad,Udaipur ,5:5
sagittarius,21-08-1955,Gokul,Betul ,10:16
taurus,29-09-1947,Asad,Jabalpur,18:39
virgo,09-09-1997,Gajaanan,Madanapalle ,16:10
capricorn,10-07-1991,Asha,Chittorgarh,11:16
gemini,29-09-1976,Himmat,Chandrapur ,12:50
libra,01-11-1987,Diya,Pithampur ,21:29
aquarius,07-03-1949,Arpit,Kalyani ,11:33
