instruction,input,output
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Aarav, I was born on 16-09-1942, and my place of birth is Kadapa  at 15:26, and my zodiac sign is aries.","Saturn in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Geethanvitha, I was born on 27-12-1991, and my place of birth is Kochi at 3:30, and my zodiac sign is leo.","Mercury in 5th House so you should invest in educational stocks. Some stocks in this field are Veranda Learning, CL Educate, Zee Learn, Global Education, MT Educare, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Anjuman, I was born on 08-12-1949, and my place of birth is Rajkot at 2:15, and my zodiac sign is sagittarius.","Mars in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Geet, I was born on 24-05-1999, and my place of birth is Burhanpur  at 18:12, and my zodiac sign is taurus.","Jupiter in 3rd House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Priti, I was born on 13-01-1948, and my place of birth is Purnia  at 21:47, and my zodiac sign is virgo.","Saturn in 5th House so you should invest in educational stocks. Some stocks in this field are Veranda Learning, CL Educate, Zee Learn, Global Education, MT Educare, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Kushal, I was born on 18-05-1994, and my place of birth is Patan  at 10:57, and my zodiac sign is capricorn.","Ketu in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Anshit, I was born on 16-09-1958, and my place of birth is Patiala at 0:36, and my zodiac sign is gemini.","Saturn in 4th House so you should invest in real estate stocks. Some stocks in this field are Oberoi Realty, Phoenix Mills, DLF, Godrej Properties, Sunteck Realty, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Vikas, I was born on 26-08-1994, and my place of birth is Eluru  at 19:21, and my zodiac sign is libra.","Ketu in 3rd House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Khushboo, I was born on 11-10-1993, and my place of birth is Yercaud at 1:34, and my zodiac sign is aquarius.","Ketu in 8th House so you should invest in spritual stocks. Some stocks in this field are Divine Dance, Blissful Balance, Sacred Space, Awakened Journeys, etc ."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Akshaya, I was born on 26-07-1968, and my place of birth is Barddhaman  at 4:0, and my zodiac sign is cancer.","Ketu in 3rd House so you should invest in media and communication stocks. Some stocks in this field are Reliance Industries, Hathway, Route Mobile, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Aadharsh, I was born on 04-02-1984, and my place of birth is New Delhi  at 20:13, and my zodiac sign is scorpio.","Jupiter in 7th House so you should invest in legal firms. Some stocks in this field are Thomson Reuters Corporation, Gateley (Holdings) PLC, RBG Holdings, Keystone Law Group, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ikshita, I was born on 17-05-1962, and my place of birth is Chittoor  at 17:14, and my zodiac sign is pisces.","Jupiter in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Chaitanya, I was born on 23-06-1968, and my place of birth is Navi Mumbai  at 4:54, and my zodiac sign is aries.","Sun in 6th House so you should invest in healthcare or pharma stocks. Some stocks in this field are Dr. Lal Path Labs, Apollo Hospitals, Fortis Healthcare, Divi's Laboratories, Cipla, Mankind Pharma, etc."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Ajeet, I was born on 20-01-1985, and my place of birth is Kishanganj  at 12:15, and my zodiac sign is leo.","Jupiter retrograding, so you should not invest in IT and technology stocks."
"you have to provide investment advice on the basis of which planet is present in which house for following  person, tell them in which sector they should invest and provide some sample stocks.","My name is Rajesh, I was born on 10-09-1961, and my place of birth is Madhyamgram  at 3:59, and my zodiac sign is sagittarius.","Rahu in 10th House so you should invest in sports stocks. Some stocks in this field are the Madison Square Garden Company, Churchill Downs Incorporated, Formula One Group, PENN Entertainment etc."
